NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
3,Unidade da Federação,45,Pessoas,71349,11,Rondônia,1996,1996,93,População residente,1143,15 a 19 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,42453,11,Rondônia,1996,1996,93,População residente,1143,15 a 19 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,28896,11,Rondônia,1996,1996,93,População residente,1143,15 a 19 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,69325,11,Rondônia,1996,1996,93,População residente,1143,15 a 19 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,44982,11,Rondônia,1996,1996,93,População residente,1143,15 a 19 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,24343,11,Rondônia,1996,1996,93,População residente,1143,15 a 19 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,59398,11,Rondônia,1996,1996,93,População residente,1144,20 a 24 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,35238,11,Rondônia,1996,1996,93,População residente,1144,20 a 24 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,24160,11,Rondônia,1996,1996,93,População residente,1144,20 a 24 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,60147,11,Rondônia,1996,1996,93,População residente,1144,20 a 24 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,40168,11,Rondônia,1996,1996,93,População residente,1144,20 a 24 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,19979,11,Rondônia,1996,1996,93,População residente,1144,20 a 24 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,54130,11,Rondônia,1996,1996,93,População residente,1145,25 a 29 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,32968,11,Rondônia,1996,1996,93,População residente,1145,25 a 29 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,21162,11,Rondônia,1996,1996,93,População residente,1145,25 a 29 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,52635,11,Rondônia,1996,1996,93,População residente,1145,25 a 29 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,35861,11,Rondônia,1996,1996,93,População residente,1145,25 a 29 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,16774,11,Rondônia,1996,1996,93,População residente,1145,25 a 29 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,50270,11,Rondônia,1996,1996,93,População residente,1146,30 a 34 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,31702,11,Rondônia,1996,1996,93,População residente,1146,30 a 34 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,18568,11,Rondônia,1996,1996,93,População residente,1146,30 a 34 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,47480,11,Rondônia,1996,1996,93,População residente,1146,30 a 34 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,32442,11,Rondônia,1996,1996,93,População residente,1146,30 a 34 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,15038,11,Rondônia,1996,1996,93,População residente,1146,30 a 34 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,41962,11,Rondônia,1996,1996,93,População residente,1147,35 a 39 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,26534,11,Rondônia,1996,1996,93,População residente,1147,35 a 39 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,15428,11,Rondônia,1996,1996,93,População residente,1147,35 a 39 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,38288,11,Rondônia,1996,1996,93,População residente,1147,35 a 39 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,26103,11,Rondônia,1996,1996,93,População residente,1147,35 a 39 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,12185,11,Rondônia,1996,1996,93,População residente,1147,35 a 39 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,32964,11,Rondônia,1996,1996,93,População residente,1148,40 a 44 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,20603,11,Rondônia,1996,1996,93,População residente,1148,40 a 44 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,12361,11,Rondônia,1996,1996,93,População residente,1148,40 a 44 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,29778,11,Rondônia,1996,1996,93,População residente,1148,40 a 44 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,19621,11,Rondônia,1996,1996,93,População residente,1148,40 a 44 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,10157,11,Rondônia,1996,1996,93,População residente,1148,40 a 44 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,24938,11,Rondônia,1996,1996,93,População residente,1149,45 a 49 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,14654,11,Rondônia,1996,1996,93,População residente,1149,45 a 49 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,10284,11,Rondônia,1996,1996,93,População residente,1149,45 a 49 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,21326,11,Rondônia,1996,1996,93,População residente,1149,45 a 49 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,13438,11,Rondônia,1996,1996,93,População residente,1149,45 a 49 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,7888,11,Rondônia,1996,1996,93,População residente,1149,45 a 49 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,19044,11,Rondônia,1996,1996,93,População residente,1150,50 a 54 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,10663,11,Rondônia,1996,1996,93,População residente,1150,50 a 54 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,8381,11,Rondônia,1996,1996,93,População residente,1150,50 a 54 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,15948,11,Rondônia,1996,1996,93,População residente,1150,50 a 54 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,9655,11,Rondônia,1996,1996,93,População residente,1150,50 a 54 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,6293,11,Rondônia,1996,1996,93,População residente,1150,50 a 54 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,15153,11,Rondônia,1996,1996,93,População residente,1151,55 a 59 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,7763,11,Rondônia,1996,1996,93,População residente,1151,55 a 59 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,7390,11,Rondônia,1996,1996,93,População residente,1151,55 a 59 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,12715,11,Rondônia,1996,1996,93,População residente,1151,55 a 59 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,7517,11,Rondônia,1996,1996,93,População residente,1151,55 a 59 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,5198,11,Rondônia,1996,1996,93,População residente,1151,55 a 59 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,11920,11,Rondônia,1996,1996,93,População residente,1152,60 a 64 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,6295,11,Rondônia,1996,1996,93,População residente,1152,60 a 64 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,5625,11,Rondônia,1996,1996,93,População residente,1152,60 a 64 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,9336,11,Rondônia,1996,1996,93,População residente,1152,60 a 64 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,5951,11,Rondônia,1996,1996,93,População residente,1152,60 a 64 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,3385,11,Rondônia,1996,1996,93,População residente,1152,60 a 64 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,8693,11,Rondônia,1996,1996,93,População residente,1153,65 a 69 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,4866,11,Rondônia,1996,1996,93,População residente,1153,65 a 69 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,3827,11,Rondônia,1996,1996,93,População residente,1153,65 a 69 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,6365,11,Rondônia,1996,1996,93,População residente,1153,65 a 69 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,4350,11,Rondônia,1996,1996,93,População residente,1153,65 a 69 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,2015,11,Rondônia,1996,1996,93,População residente,1153,65 a 69 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,10602,11,Rondônia,1996,1996,93,População residente,3244,70 anos ou mais,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,6859,11,Rondônia,1996,1996,93,População residente,3244,70 anos ou mais,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,3743,11,Rondônia,1996,1996,93,População residente,3244,70 anos ou mais,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,8081,11,Rondônia,1996,1996,93,População residente,3244,70 anos ou mais,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,5830,11,Rondônia,1996,1996,93,População residente,3244,70 anos ou mais,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,2251,11,Rondônia,1996,1996,93,População residente,3244,70 anos ou mais,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,1845,11,Rondônia,1996,1996,93,População residente,3245,Idade ignorada,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,958,11,Rondônia,1996,1996,93,População residente,3245,Idade ignorada,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,887,11,Rondônia,1996,1996,93,População residente,3245,Idade ignorada,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,1860,11,Rondônia,1996,1996,93,População residente,3245,Idade ignorada,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,1057,11,Rondônia,1996,1996,93,População residente,3245,Idade ignorada,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,803,11,Rondônia,1996,1996,93,População residente,3245,Idade ignorada,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,244449,12,Acre,1996,1996,93,População residente,0,Total,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,153533,12,Acre,1996,1996,93,População residente,0,Total,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,90916,12,Acre,1996,1996,93,População residente,0,Total,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,239144,12,Acre,1996,1996,93,População residente,0,Total,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,161738,12,Acre,1996,1996,93,População residente,0,Total,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,77406,12,Acre,1996,1996,93,População residente,0,Total,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,32444,12,Acre,1996,1996,93,População residente,1140,0 a 4 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,19284,12,Acre,1996,1996,93,População residente,1140,0 a 4 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,13160,12,Acre,1996,1996,93,População residente,1140,0 a 4 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,32124,12,Acre,1996,1996,93,População residente,1140,0 a 4 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,19182,12,Acre,1996,1996,93,População residente,1140,0 a 4 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,12942,12,Acre,1996,1996,93,População residente,1140,0 a 4 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,32518,12,Acre,1996,1996,93,População residente,1141,5 a 9 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,19234,12,Acre,1996,1996,93,População residente,1141,5 a 9 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,13284,12,Acre,1996,1996,93,População residente,1141,5 a 9 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,31614,12,Acre,1996,1996,93,População residente,1141,5 a 9 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,19021,12,Acre,1996,1996,93,População residente,1141,5 a 9 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,12593,12,Acre,1996,1996,93,População residente,1141,5 a 9 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,32674,12,Acre,1996,1996,93,População residente,1142,10 a 14 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,20005,12,Acre,1996,1996,93,População residente,1142,10 a 14 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,12669,12,Acre,1996,1996,93,População residente,1142,10 a 14 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,32305,12,Acre,1996,1996,93,População residente,1142,10 a 14 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,20928,12,Acre,1996,1996,93,População residente,1142,10 a 14 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,11377,12,Acre,1996,1996,93,População residente,1142,10 a 14 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,29627,12,Acre,1996,1996,93,População residente,1143,15 a 19 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,18767,12,Acre,1996,1996,93,População residente,1143,15 a 19 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,10860,12,Acre,1996,1996,93,População residente,1143,15 a 19 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,29590,12,Acre,1996,1996,93,População residente,1143,15 a 19 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,20803,12,Acre,1996,1996,93,População residente,1143,15 a 19 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,8787,12,Acre,1996,1996,93,População residente,1143,15 a 19 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,23304,12,Acre,1996,1996,93,População residente,1144,20 a 24 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,14880,12,Acre,1996,1996,93,População residente,1144,20 a 24 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,8424,12,Acre,1996,1996,93,População residente,1144,20 a 24 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,23371,12,Acre,1996,1996,93,População residente,1144,20 a 24 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,16552,12,Acre,1996,1996,93,População residente,1144,20 a 24 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,6819,12,Acre,1996,1996,93,População residente,1144,20 a 24 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,19049,12,Acre,1996,1996,93,População residente,1145,25 a 29 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,12349,12,Acre,1996,1996,93,População residente,1145,25 a 29 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,6700,12,Acre,1996,1996,93,População residente,1145,25 a 29 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,18962,12,Acre,1996,1996,93,População residente,1145,25 a 29 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,13631,12,Acre,1996,1996,93,População residente,1145,25 a 29 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,5331,12,Acre,1996,1996,93,População residente,1145,25 a 29 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,15684,12,Acre,1996,1996,93,População residente,1146,30 a 34 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,10569,12,Acre,1996,1996,93,População residente,1146,30 a 34 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,5115,12,Acre,1996,1996,93,População residente,1146,30 a 34 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,15687,12,Acre,1996,1996,93,População residente,1146,30 a 34 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,11479,12,Acre,1996,1996,93,População residente,1146,30 a 34 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,4208,12,Acre,1996,1996,93,População residente,1146,30 a 34 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,13370,12,Acre,1996,1996,93,População residente,1147,35 a 39 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,8880,12,Acre,1996,1996,93,População residente,1147,35 a 39 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,4490,12,Acre,1996,1996,93,População residente,1147,35 a 39 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,13435,12,Acre,1996,1996,93,População residente,1147,35 a 39 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,9654,12,Acre,1996,1996,93,População residente,1147,35 a 39 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,3781,12,Acre,1996,1996,93,População residente,1147,35 a 39 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,11249,12,Acre,1996,1996,93,População residente,1148,40 a 44 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,7524,12,Acre,1996,1996,93,População residente,1148,40 a 44 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,3725,12,Acre,1996,1996,93,População residente,1148,40 a 44 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,10718,12,Acre,1996,1996,93,População residente,1148,40 a 44 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,7850,12,Acre,1996,1996,93,População residente,1148,40 a 44 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,2868,12,Acre,1996,1996,93,População residente,1148,40 a 44 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,8773,12,Acre,1996,1996,93,População residente,1149,45 a 49 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,5676,12,Acre,1996,1996,93,População residente,1149,45 a 49 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,3097,12,Acre,1996,1996,93,População residente,1149,45 a 49 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,8088,12,Acre,1996,1996,93,População residente,1149,45 a 49 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,5680,12,Acre,1996,1996,93,População residente,1149,45 a 49 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,2408,12,Acre,1996,1996,93,População residente,1149,45 a 49 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,6706,12,Acre,1996,1996,93,População residente,1150,50 a 54 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,4189,12,Acre,1996,1996,93,População residente,1150,50 a 54 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,2517,12,Acre,1996,1996,93,População residente,1150,50 a 54 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,6206,12,Acre,1996,1996,93,População residente,1150,50 a 54 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,4371,12,Acre,1996,1996,93,População residente,1150,50 a 54 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,1835,12,Acre,1996,1996,93,População residente,1150,50 a 54 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,5122,12,Acre,1996,1996,93,População residente,1151,55 a 59 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,3099,12,Acre,1996,1996,93,População residente,1151,55 a 59 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,2023,12,Acre,1996,1996,93,População residente,1151,55 a 59 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,4984,12,Acre,1996,1996,93,População residente,1151,55 a 59 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,3408,12,Acre,1996,1996,93,População residente,1151,55 a 59 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,1576,12,Acre,1996,1996,93,População residente,1151,55 a 59 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,4190,12,Acre,1996,1996,93,População residente,1152,60 a 64 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,2469,12,Acre,1996,1996,93,População residente,1152,60 a 64 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,1721,12,Acre,1996,1996,93,População residente,1152,60 a 64 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,3751,12,Acre,1996,1996,93,População residente,1152,60 a 64 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,2782,12,Acre,1996,1996,93,População residente,1152,60 a 64 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,969,12,Acre,1996,1996,93,População residente,1152,60 a 64 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,3507,12,Acre,1996,1996,93,População residente,1153,65 a 69 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,2292,12,Acre,1996,1996,93,População residente,1153,65 a 69 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,1215,12,Acre,1996,1996,93,População residente,1153,65 a 69 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,2984,12,Acre,1996,1996,93,População residente,1153,65 a 69 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,2258,12,Acre,1996,1996,93,População residente,1153,65 a 69 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,726,12,Acre,1996,1996,93,População residente,1153,65 a 69 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,5535,12,Acre,1996,1996,93,População residente,3244,70 anos ou mais,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,4007,12,Acre,1996,1996,93,População residente,3244,70 anos ou mais,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,1528,12,Acre,1996,1996,93,População residente,3244,70 anos ou mais,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,4648,12,Acre,1996,1996,93,População residente,3244,70 anos ou mais,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,3817,12,Acre,1996,1996,93,População residente,3244,70 anos ou mais,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,831,12,Acre,1996,1996,93,População residente,3244,70 anos ou mais,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,697,12,Acre,1996,1996,93,População residente,3245,Idade ignorada,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,309,12,Acre,1996,1996,93,População residente,3245,Idade ignorada,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,388,12,Acre,1996,1996,93,População residente,3245,Idade ignorada,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,677,12,Acre,1996,1996,93,População residente,3245,Idade ignorada,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,322,12,Acre,1996,1996,93,População residente,3245,Idade ignorada,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,355,12,Acre,1996,1996,93,População residente,3245,Idade ignorada,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,1200109,13,Amazonas,1996,1996,93,População residente,0,Total,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,868694,13,Amazonas,1996,1996,93,População residente,0,Total,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,331415,13,Amazonas,1996,1996,93,População residente,0,Total,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,1189170,13,Amazonas,1996,1996,93,População residente,0,Total,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,897472,13,Amazonas,1996,1996,93,População residente,0,Total,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,291698,13,Amazonas,1996,1996,93,População residente,0,Total,5,Mulheres,2,Rural
